,title,website
0," Gorgeous Furnished Apartment near Whole Foods, Starbucks, Tortilla Flats. ALL Utilities Included ",https://www.brownuniversityoffcampus.com/housing/property/gorgeous-furnished-apartment-near-whole-foods-starbucks-tortilla-flats-all-utilities-included/ocp3csmn4g
1," Perfect Location, Gorgeous Home w/ free laundry, furnished, all utilities included ",https://www.brownuniversityoffcampus.com/housing/property/perfect-location-gorgeous-home-w-free-laundry-furnished-all-utilities-included/ocprjzy5l3
2," Near RISD, Brown University, on College Hill - Furnished ALL INCLUSIVE 4 bedroom, 2 bathroom ",https://www.brownuniversityoffcampus.com/housing/property/near-risd-brown-university-on-college-hill-furnished-all-inclusive-4-bedroom-2-bathroom/ocp6ltcx1s
3, STOP🚫🚫🚫Searching! One room left😱😱😱under $780! Walk 2 Brown w/all utilities!😍😍😍 ,https://www.brownuniversityoffcampus.com/housing/property/stop-searching-one-room-left-under-780-walk-2-brown-w-all-utilities/ocp6f05y0r
4," Beautiful, Furnished, and Renovated 3 bed / 1 bath apt near campus, EVERYTHING INCLUDED ",https://www.brownuniversityoffcampus.com/housing/property/beautiful-furnished-and-renovated-3-bed-1-bath-apt-near-campus-everything-included/ocpt1jqzr8
5, 🤩🤩🤩Best VALUE Studios🤩🤩🤩All Utilities & WiFi included! Furnished/Unfurnished Options! ,https://www.brownuniversityoffcampus.com/housing/property/best-value-studios-all-utilities-and-wifi-included-furnished-unfurnished-options/ocp8mdeec1
6, The Case-Mead Lofts ,https://www.brownuniversityoffcampus.com/housing/property/the-case-mead-lofts/ymh50sv
7, Everything included modern apartment ,https://www.brownuniversityoffcampus.com/housing/property/everything-included-modern-apartment/ocpfhg2wzv
8, furnished rooms for rent ,https://www.brownuniversityoffcampus.com/housing/property/furnished-rooms-for-rent/ocpy7qm6kv
9," BEST VALUE🤓🤓🤓Furnished Bedrooms, All Utilities. All CLEAN, QUIET, Steps to Brown! ",https://www.brownuniversityoffcampus.com/housing/property/best-value-furnished-bedrooms-all-utilities-all-clean-quiet-steps-to-brown/ocpnww8ymm
10," Bright, Spacious, 3 Bed, To Share, Great Location, Large Rooms ",https://www.brownuniversityoffcampus.com/housing/property/bright-spacious-3-bed-to-share-great-location-large-rooms/ocpqb127sz
11," 1 room in 2 bedroom apartment, very quiet ",https://www.brownuniversityoffcampus.com/housing/property/1-room-in-2-bedroom-apartment-very-quiet/ocpcecnxnf
12," Two Separate furnished private rooms available off Wickenden St, close to Brown, RISD, and downtown ",https://www.brownuniversityoffcampus.com/housing/property/two-separate-furnished-private-rooms-available-off-wickenden-st-close-to-brown-risd-and-downtown/ocp3p3tp5f
13," Beautiful, Spacious Room in 2-BDR Apt - Right next to Campus ",https://www.brownuniversityoffcampus.com/housing/property/beautiful-spacious-room-in-2-bdr-apt-right-next-to-campus/ocp98flzf4
14, ARCADE Building - Female to Share Apartment near Brown University/Brown Medical School/JWU/RISD ,https://www.brownuniversityoffcampus.com/housing/property/arcade-building-female-to-share-apartment-near-brown-university-brown-medical-school-jwu-risd/ocpdw8971k
15, Nice and clean walking distance and parks near by the room ,https://www.brownuniversityoffcampus.com/housing/property/nice-and-clean-walking-distance-and-parks-near-by-the-room/ocpfel9jkr
16," 1 Spacious, lovely room in shared house. Amazing location. Full access to home.Gas/Electric extra. ",https://www.brownuniversityoffcampus.com/housing/property/1-spacious-lovely-room-in-shared-house-amazing-location-full-access-to-home-gas-electric-extra/ocpgm4579z
17," Wayland Sq:  LGBTQ, Large, furnished, sunny, quiet, convenient,  15 min walk to campus ",https://www.brownuniversityoffcampus.com/housing/property/wayland-sq-lgbtq-large-furnished-sunny-quiet-convenient-15-min-walk-to-campus/ocpgd6fmdx
18, 1br Condo Available July 1 to Sept 1! Weekly Terms ,https://www.brownuniversityoffcampus.com/housing/property/1br-condo-available-july-1-to-sept-1-weekly-terms/ocp3e6ecye
19, Beautifully renovated space in quiet Hope street home ,https://www.brownuniversityoffcampus.com/housing/property/beautifully-renovated-space-in-quiet-hope-street-home/ocpzxyw6kx
0," Near RISD, Brown University - A Bedroom in a Furnished ALL INCLUSIVE 6 bedroom, 4 bathroom ",https://www.brownuniversityoffcampus.com/housing/property/near-risd-brown-university-a-bedroom-in-a-furnished-all-inclusive-6-bedroom-4-bathroom/ocphgp8xq3
0, STOP🚫🚫🚫Searching! WiFi😎🏠 📶 & ALL Utilities INCLUDED!! Walk 2 Brown 😍😍😍 ,https://www.brownuniversityoffcampus.com/housing/property/stop-searching-wifi-and-all-utilities-included-walk-2-brown/ocp6f05y0r
0," 🌺🏡🌟 BEST VALUE🤓🤓🤓Furnished Bedrooms, All Utilities. All CLEAN, QUIET, Steps to Brown! ",https://www.brownuniversityoffcampus.com/housing/property/best-value-furnished-bedrooms-all-utilities-all-clean-quiet-steps-to-brown/ocpnww8ymm
0, 17 Lenox Ave ,https://www.brownuniversityoffcampus.com/housing/property/17-lenox-ave/pqbhj3r
0," Clean, Quiet, Right on Wickenden, WiFi/All Utilities Incl. Steps to the Best Food/Drink on East Side ",https://www.brownuniversityoffcampus.com/housing/property/clean-quiet-right-on-wickenden-wifi-all-utilities-incl-steps-to-the-best-food-drink-on-east-side/ocpb8nhpd8
0, FURNISHED! Newly renovated apartment close to everything! ,https://www.brownuniversityoffcampus.com/housing/property/furnished-newly-renovated-apartment-close-to-everything/ocpdgm1m8j
0," 2 Separately Private Rooms Available off Wickenden St, close to Brown, RISD, and downtown ",https://www.brownuniversityoffcampus.com/housing/property/2-separately-private-rooms-available-off-wickenden-st-close-to-brown-risd-and-downtown/ocp3p3tp5f
0, Near Brown University/close to campus ,https://www.brownuniversityoffcampus.com/housing/property/near-brown-university-close-to-campus/ocpwcf4ymh
0, Apartment In Beautiful Victorian House ,https://www.brownuniversityoffcampus.com/housing/property/apartment-in-beautiful-victorian-house/ocpv0mvy6f
0," Beautiful, Quiet  Space ",https://www.brownuniversityoffcampus.com/housing/property/beautiful-quiet-space/ocp51fktrn
0," Wayland Sq:  LGBTQ friendly, Large, furnished, sunny, quiet, convenient,  15 min walk to campus ",https://www.brownuniversityoffcampus.com/housing/property/wayland-sq-lgbtq-friendly-large-furnished-sunny-quiet-convenient-15-min-walk-to-campus/ocpgd6fmdx
0," Beautiful, Spacious Room in 2-BDR Apt - Super close to Campus ",https://www.brownuniversityoffcampus.com/housing/property/beautiful-spacious-room-in-2-bdr-apt-super-close-to-campus/ocp98flzf4
0, Room Available - Sunny & Beautiful Apartment ,https://www.brownuniversityoffcampus.com/housing/property/room-available-sunny-and-beautiful-apartment/ocpcep9egd
0," Close to Brown University, Bus line and shopping. Nicely furnished. Call 8609654141 ",https://www.brownuniversityoffcampus.com/housing/property/close-to-brown-university-bus-line-and-shopping-nicely-furnished-call-8609654141/ocptjjtwsb
